candidate_id	archive_relative_path	member_name	material	archive_size_bytes	archive_mtime_ns	archive_sha256	member_uncompressed_bytes	member_crc32_hex	paired_genome_ids
d248e271fde7e814	soyod/Wan_Dou_28/gff/Wan_Dou_28.annotation.zip	Wan_Dou_28.annotation.gff	Wan_Dou_28	10142470	1780802736000000000	b0e921132d292a7bb01934a4f92a632fcc0093ab36eea41ef86cc468b3e8d4d1	116373706	66f2b539	e43bb976311a10d3
4b8d5d488f78571b	soyod/Williams82.a1.v1/gff/Williams82.a1.v1.annotation3.zip	Williams82.a1.v1.annotation.gff3	Williams82.a1.v1	17139457	1706623262000000000	cc603382223b003c47027189dd0d2e0294ab42b6c9e84f65858bea024a2ab645	160368233	447a057b	.
bfc43d2d26f8a173	soyod/Williams82.a2.v1/gff/Williams82.a2.v1.annotation3.zip	Williams82.a2.v1.annotation.gff3	Williams82.a2.v1	15241287	1706623267000000000	97ce67f2c0ba4cb0519b617d17a3b0e9964b532ea9c8b177c4b7e6c388563cb3	204482032	8163f9ff	.
6c699c79f3a661f2	soyod/Williams82.a4.v1/gff/Williams82.a4.v1.annotation3.zip	Williams82.a4.v1.annotation.gff3	Williams82.a4.v1	16805199	1706623279000000000	36cfd0448338c9cdb69022b6c5b30d62c99c1b4346413a9f6b7ac05666060613	182434801	8dee3fa3	1289b4099cddb5dc
8934721aa3479824	soyod/Xu_Dou_1/gff/Xu_Dou_1.annotation.zip	Xu_Dou_1.annotation.gff	Xu_Dou_1	9566402	1780802801000000000	7857ae8d28c3436e6d4bf9850b92d0f64afa7d65af7c6a882edc005ee64e476b	108731446	3f837960	e74544f21bb63e52
0f6a5f5dfa1a59d4	soyod/Yesheng71_T2T/gff/Yesheng71.annotation.zip	Yesheng71_T2T.annotation.gff	Yesheng71_T2T	13982908	1780803021000000000	3af1fd511bcbc00d7cdcff7c794755fb330a0e7496fd062dfc4d2b159269a810	184457330	00b22c4f	58846353edbf3856
d1987ecb43106760	soyod/Yu_Dou_22/gff/Yu_Dou_22.annotation.zip	Yu_Dou_22.annotation.gff	Yu_Dou_22	10037088	1780802823000000000	15f6ea0cbe9ceeffdac356f0ac28e6aa48d713c5409d6740aba574855737589d	115233490	51f56c0c	5799d550972348b4
1a343104cc94269d	soyod/Yundou1_T2T/gff/Yundou1.annotation.zip	Yundou1_T2T.annotation.gff	Yundou1_T2T	13785891	1780803078000000000	4158bc67fb6dc7f380ee5c0bb8b9dc4487a3e6a224df3d7adf833e40d5ae6912	181309054	2e57873d	42e6902fc05e0c1a
97b7f4fa7e44233a	soyod/Zhong_Huang_13.v1/gff/Zhong_Huang_13.v1.annotation.zip	Zhong_Huang_13.v1.annotation.gff	Zhong_Huang_13.v1	8545027	1706623324000000000	41e7f2c87824ede4772df40a0d97cc3fde8b010692dd494d52aa60e01d8c062b	127934704	2533e0f7	f905cd9135788524
6bcd09993f2485aa	soyod/Zhong_Huang_13.v2/gff/Zhong_Huang_13.v2.annotation.zip	Zhong_Huang_13.v2.annotation.gff	Zhong_Huang_13.v2	11836664	1706623337000000000	694529f8c8d06f1e0ee0a8f30793e69e35e16e30b0cc3334c2f7361fbf5fe8f8	153596888	53701b21	f4acbfef17315648
3f50b04e750cc82c	soyod/Zhong_Huang_13_T2T/gff/ZH13_T2T.annotation.zip	ZH13_T2T.annotation.gff	Zhong_Huang_13_T2T	47519406	1706623307000000000	7a35f4f0783428d357c461145762ee8ea55103b4d2596e077eefd602354af874	511991251	29758621	484ac27242746eae
88008bee6a8ee306	soyod/Zhutwinning2/gff/Zhutwinning2.annotation.zip	Zhutwinning2.annotation.gff	Zhutwinning2	9659325	1780802896000000000	d53c7b39b0683689ba5b294937b9dc5d38d76e4431257280ea9582b45c81ba24	110006654	9e828e3d	0a83296898386360
dea18b50f8dec9d4	soyod/Zi_Hua_4/gff/Zi_Hua_4.annotation.zip	Zi_Hua_4.annotation.gff	Zi_Hua_4	9965310	1780802954000000000	ec25ed47f41d5d78fc5d1c1f2e70034720837b33e47c7a254014f1c60bf2bf28	114339110	153180f2	373c9eab4b86d0b4
