candidate_id	relative_path	size_bytes	file_sha256	file_member_count	total_uncompressed_bytes	crc_verified_count	crc_failure_count	encrypted_member_count	unsafe_member_count	high_compression_ratio_count	status
84c56953bbf88a82	soyod/Ji_Dou_17/ncrna/Ji_Dou_17.ncRNA.gff3.zip	89168	1bb98e21f1f695aec5a386ec7f3891ae8c76b9ab8f116f30f27c65f83576ad79	1	916201	1	0	0	0	0	PASS
134f7ffa16a55313	soyod/Ji_Dou_17/protein/Ji_Dou_17.protein.zip	12360398	abb20e2e2bbbfddaa43d10662e09d2b5f15bf82eb14acfe9009795bcb8d90764	1	38796256	1	0	0	0	0	PASS
07193d777599ff60	soyod/Jin_Dou_23/cds/Jin_Dou_23.CDS.zip	18398941	adbc5699bcb438a7bd05a3bab014d8b8032cbfbe3b4110b03846e2ce429b26ed	1	97297867	1	0	0	0	0	PASS
64cc0d4b46001b51	soyod/Jin_Dou_23/gff/Jin_Dou_23.annotation.zip	9924011	4821800b70275cef5f7cd0a55dc182541b7d2d0dfcb04198d4c84a5b7b15b656	1	113636990	1	0	0	0	0	PASS
4c4588cef1a503bc	soyod/Jin_Dou_23/mrna/Jin_Dou_23.mRNA.zip	27780612	4a6332f4329267a7071a01946142fac1de295e06f4a3b5be20a66a543410dd67	1	141788493	1	0	0	0	0	PASS
730005d4d9e28e65	soyod/Jin_Dou_23/ncrna/Jin_Dou_23.ncRNA.gff3.zip	85577	898c6e2a82fb5f6ead5733462e07377d5a6a8b80e062ecdca7cca7dc398e4608	1	875408	1	0	0	0	0	PASS
fc524c780de3efc3	soyod/Jin_Dou_23/protein/Jin_Dou_23.protein.zip	11491162	6e767e523bc4b773bd76e8917790453c46eb07fe6d81d45f9c68447992882fd2	1	33477310	1	0	0	0	0	PASS
a01fbed8ea293080	soyod/Ju_Xuan23/cds/Ju_Xuan23.CDS.zip	19497438	575efd41ada4d1ecd2c21e4db46bd0afd4f0e15a947accf885748afe7b065236	1	104442605	1	0	0	0	0	PASS
d5c52de8160ecb4f	soyod/Ju_Xuan23/genome/Ju_Xuan23.genome.zip	242178454	3e6c671dc67394a4972bd5abff5ba86771845c293d76ca74ca2136b3dae7c1e9	1	1007763440	1	0	0	0	0	PASS
4d54dec9f4a30044	soyod/Ju_Xuan23/gff/Ju_Xuan23.annotation.zip	10315818	7b8b486d0ad3d32ac20f3983eee9115b3427b2c8f369ae441baac42c0c7484eb	1	118839858	1	0	0	0	0	PASS
