archive_candidate_id	archive_relative_path	member_name	member_type	uncompressed_bytes	compressed_bytes	crc32_hex	encrypted	safe_path	crc_verified	error_type	status
ea438069b281987b	soyod/Qi_Huang_34/cds/Qi_Huang_34.CDS.zip	Qi_Huang_34.CDS.fasta	fasta	95432864	18588362	10780514	false	true	true		PASS
0dd962f2eb05b4f4	soyod/Qi_Huang_34/genome/Qi_Huang_34.genome.zip	Qi_Huang_34.genome.fasta	fasta	1002282893	241441818	58304d3a	false	true	true		PASS
9f7b7bfd97b5bdd0	soyod/Qi_Huang_34/gff/Qi_Huang_34.annotation.zip	Qi_Huang_34.annotation.gff	annotation	112069934	9821788	95f4343c	false	true	true		PASS
1d1b312af8c26dbb	soyod/Qi_Huang_34/mrna/Qi_Huang_34.mRNA.zip	Qi_Huang_34.mRNA.fasta	fasta	137781585	27527410	483f66d6	false	true	true		PASS
270cfb81a32f061b	soyod/Qi_Huang_34/ncrna/Qi_Huang_34.ncRNA.gff3.zip	Qi_Huang_34.ncRNA.gff3	annotation	881412	85679	e33b49bc	false	true	true		PASS
947ecf85e106f59a	soyod/Qi_Huang_34/protein/Qi_Huang_34.protein.zip	Qi_Huang_34.protein.fasta	fasta	32841804	11436454	57238fef	false	true	true		PASS
9a346fb403e6dcc5	soyod/Shi_Sheng_Chang_Ye/cds/Shi_Sheng_Chang_Ye.CDS.zip	Shi_Sheng_Chang_Ye.CDS.fasta	fasta	112333119	20437435	c809d6f5	false	true	true		PASS
2463ebe00b6ba0e0	soyod/Shi_Sheng_Chang_Ye/genome/Shi_Sheng_Chang_Ye.genome.zip	Shi_Sheng_Chang_Ye.genome.fasta	fasta	1028223747	249369364	737bba28	false	true	true		PASS
879ad9011faf6f88	soyod/Shi_Sheng_Chang_Ye/gff/Shi_Sheng_Chang_Ye.annotation.zip	Shi_Sheng_Chang_Ye.annotation.gff	annotation	125517405	10817965	a1fda9b4	false	true	true		PASS
6bd24a5a1c744b1a	soyod/Shi_Sheng_Chang_Ye/mrna/Shi_Sheng_Chang_Ye.mRNA.zip	Shi_Sheng_Chang_Ye.mRNA.fasta	fasta	163575030	29971801	48468b9b	false	true	true		PASS
5b13936f49d380b4	soyod/Shi_Sheng_Chang_Ye/ncrna/Shi_Sheng_Chang_Ye.ncRNA.gff3.zip	Shi_Sheng_Chang_Ye.ncRNA.gff3	annotation	916393	88876	deb8f6ab	false	true	true		PASS
aed53eae6f98aaba	soyod/Shi_Sheng_Chang_Ye/protein/Shi_Sheng_Chang_Ye.protein.zip	Shi_Sheng_Chang_Ye.protein.fasta	fasta	38618283	12386496	45e80fe6	false	true	true		PASS
6decd0ef24c6fd1d	soyod/Tian_Long_1/gff/Tian_Long_1.annotation.zip	Tian_Long_1.annotation.gff	annotation	74093144	6746351	3060e5a8	false	true	true		PASS
883fec970374ac00	soyod/Tie_Feng_18/cds/Tie_Feng_18.CDS.zip	Tie_Feng_18.CDS.fasta	fasta	101482168	18797227	c905190a	false	true	true		PASS
deebbeaa4311ff23	soyod/Tie_Feng_18/genome/Tie_Feng_18.genome.zip	Tie_Feng_18.genome.fasta	fasta	1011073921	242670478	6a4ecb8f	false	true	true		PASS
ae5afb618217286c	soyod/Tie_Feng_18/gff/Tie_Feng_18.annotation.zip	Tie_Feng_18.annotation.gff	annotation	117237701	10179882	672d792a	false	true	true		PASS
fd6851b2c3d3d1fa	soyod/Tie_Feng_18/mrna/Tie_Feng_18.mRNA.zip	Tie_Feng_18.mRNA.fasta	fasta	148061285	28412544	6b13bc9c	false	true	true		PASS
4f81f7c66b4db874	soyod/Tie_Feng_18/ncrna/Tie_Feng_18.ncRNA.gff3.zip	Tie_Feng_18.ncRNA.gff3	annotation	898313	86980	cb57c7ae	false	true	true		PASS
12fed5f569a4aed3	soyod/Tie_Feng_18/protein/Tie_Feng_18.protein.zip	Tie_Feng_18.protein.fasta	fasta	34896312	11720727	bd0e0fa5	false	true	true		PASS
b1dcbabc29a07430	soyod/Tie_Jia_Si_Li_Huang/cds/Tie_Jia_Si_Li_Huang.CDS.zip	Tie_Jia_Si_Li_Huang.CDS.fasta	fasta	110810019	19691015	8f849001	false	true	true		PASS
750bd8afed15b66a	soyod/Tie_Jia_Si_Li_Huang/genome/Tie_Jia_Si_Li_Huang.genome.zip	Tie_Jia_Si_Li_Huang.genome.fasta	fasta	999714116	243306462	4ec82709	false	true	true		PASS
acc738f6a567d8fe	soyod/Tie_Jia_Si_Li_Huang/gff/Tie_Jia_Si_Li_Huang.annotation.zip	Tie_Jia_Si_Li_Huang.annotation.gff	annotation	124427539	10717359	1cdeb8d8	false	true	true		PASS
d43431b39d965e42	soyod/Tie_Jia_Si_Li_Huang/mrna/Tie_Jia_Si_Li_Huang.mRNA.zip	Tie_Jia_Si_Li_Huang.mRNA.fasta	fasta	163184084	30364396	1688e788	false	true	true		PASS
cc3ddc562788eadf	soyod/Tie_Jia_Si_Li_Huang/ncrna/Tie_Jia_Si_Li_Huang.ncRNA.gff3.zip	Tie_Jia_Si_Li_Huang.ncRNA.gff3	annotation	907115	88044	a02bd56c	false	true	true		PASS
94e3569aafa47ef9	soyod/Tie_Jia_Si_Li_Huang/protein/Tie_Jia_Si_Li_Huang.protein.zip	Tie_Jia_Si_Li_Huang.protein.fasta	fasta	38100368	12177718	7db1c3be	false	true	true		PASS
8ac645b25be72f2a	soyod/Tong_Shan_Tian_E_Dan/cds/Tong_Shan_Tian_E_Dan.CDS.zip	Tong_Shan_Tian_E_Dan.CDS.fasta	fasta	102070384	19003688	119376bd	false	true	true		PASS
b2c698f98d9f20fb	soyod/Tong_Shan_Tian_E_Dan/genome/Tong_Shan_Tian_E_Dan.genome.zip	Tong_Shan_Tian_E_Dan.genome.fasta	fasta	1039514171	249604601	a7d66414	false	true	true		PASS
bc6689fb947a6f61	soyod/Tong_Shan_Tian_E_Dan/gff/Tong_Shan_Tian_E_Dan.annotation.zip	Tong_Shan_Tian_E_Dan.annotation.gff	annotation	118585935	10283764	de12d469	false	true	true		PASS
21661c4a03ab5620	soyod/Tong_Shan_Tian_E_Dan/mrna/Tong_Shan_Tian_E_Dan.mRNA.zip	Tong_Shan_Tian_E_Dan.mRNA.fasta	fasta	149233819	28721758	3b7be6e2	false	true	true		PASS
a7d3d9b6d017c58f	soyod/Tong_Shan_Tian_E_Dan/ncrna/Tong_Shan_Tian_E_Dan.ncRNA.gff3.zip	Tong_Shan_Tian_E_Dan.ncRNA.gff3	annotation	887062	86311	c3abe3de	false	true	true		PASS
45db774006f69c96	soyod/Tong_Shan_Tian_E_Dan/protein/Tong_Shan_Tian_E_Dan.protein.zip	Tong_Shan_Tian_E_Dan.protein.fasta	fasta	35104816	11802442	2348a85d	false	true	true		PASS
2ef3163a710cf611	soyod/W05/genome/W05.genome.zip	W05.genome.fasta	fasta	1013241812	242677528	bead6f12	false	true	true		PASS
62bc538c6812a83f	soyod/W05/mrna/W05.mRNA.zip	W05.mRNA.fasta	fasta	181552494	51003168	8e1bf681	false	true	true		PASS
bc33a6f0bb408cf3	soyod/W05/protein/W05.protein.zip	W05.protein.fasta	fasta	50656363	14204248	0dc5a169	false	true	true		PASS
c8bc27ba55ee0cf9	soyod/Wan_Dou_28/cds/Wan_Dou_28.CDS.zip	Wan_Dou_28.CDS.fasta	fasta	102745531	19518072	4a2445eb	false	true	true		PASS
bc01465af24b1494	soyod/Wan_Dou_28/genome/Wan_Dou_28.genome.zip	Wan_Dou_28.genome.fasta	fasta	1001499638	242275828	08bffd13	false	true	true		PASS
