candidate_id	orientation_signature	orientation_group_id	orientation_group_size	orientation_representative
34a865520cde6c20	f91b0d1d2e41529f2d5582dcc46d0ffa8dd1dd20438f95f660557052a291232b	orientation-f91b0d1d2e41529f	1	True
351b9be376cc7087	8f3b2c042f7fdc140fa0a69c2d5e712da293274ce1055308c3656be97d9bca3f	orientation-8f3b2c042f7fdc14	1	True
355a2916e13df156	370479e8a5c6012d2cce5b5361835571a73f3c5c9078ec54419611d38449a917	orientation-370479e8a5c6012d	2	True
361af7585c4e387c	9d91cbec8890fd04df12473de1333ed69b75c28b951e4c496928865af95f660f	orientation-9d91cbec8890fd04	1	True
3692bd8191b45c00	2beba0fb86c33b6aeae942f5e3e0084174c29f043c67fb51a555766e069c891e	orientation-2beba0fb86c33b6a	1	True
369c80713ac67768	48e56a2c485ba92049ed9ac4055d508ef707e1c0ca454a689311a90bb6826b9f	orientation-48e56a2c485ba920	1	True
36b18a63110412aa	30dffbb98733709f671122167bcdec9ca721716ea2acf76f8fa4ca5a858fca4e	orientation-30dffbb98733709f	1	True
36fec1a295e1766f	731aaba392434c19b962ed545b788009fb241149fd9ff6cdf1e9774a7b29016c	orientation-731aaba392434c19	1	True
384c291022a64cb6	a1a8fd6da140edf677f10a4e0fb2611d4a75699d6ff658e785d7fef3f8eef739	orientation-a1a8fd6da140edf6	2	True
3867bb9c558d66e6	3fdcc3e436d36d69c1a6b35a63cf2df30b4b1b1f2a32921be88462d2bedfbd93	orientation-3fdcc3e436d36d69	1	True
391e92e38f9fb945	6bbe30a951b08acd88f5aa7c085c02471bd76a1717c87beb16cb126fe8372fb6	orientation-6bbe30a951b08acd	1	True
3a41b2e8ca5aa320	3255aa80d6cbfec82ca54662e82b2309ac35f493a88fa50a55adc14c9f0b90e0	orientation-3255aa80d6cbfec8	1	True
3a61c11d2bff6da2	f1163a3a042998af577ba202dd9249111a89eb279803f608e72357ca14d4d2ad	orientation-f1163a3a042998af	1	True
3a6e64fc6de3d765	3c07bd4d351f4a1f27d3bc9fad5ba2a2947c0958494385c2fc2c8dcd6122e141	orientation-3c07bd4d351f4a1f	1	True
3abc9735177b780a	090b08a24142eaf6afc4091af49d6e98f126d7b7dfc66b7a8c0eb3e65a9b8806	orientation-090b08a24142eaf6	1	True
3ac8f18302bca5ce	aac9395678b84c9431cdac881dfe4f66a63bf59b72811d1a10047de28096ed02	orientation-aac9395678b84c94	1	True
3b5c89322ad7aa01	badd1cb7288d3ffa7198bef96af2679b38193d69cf268f56878eb7a530542507	orientation-badd1cb7288d3ffa	1	True
3b922ebbef5d2263	22a800a26b80f60a2c0b0f1d760c7b28ebcc4335a0b965ca845c1e5c2845a934	orientation-22a800a26b80f60a	1	True
3cc0ae79d13d49a9	c0b6bd343cc42288b6c02a6fcfbe76fc9985b096f338f6fd31d4e8cc3ab80108	orientation-c0b6bd343cc42288	1	True
3d10e4cb7b76e2b3	072493607acf09054f0a52667b105fdcd4e31cafb263e0c85833a03c20801000	orientation-072493607acf0905	1	True
3e10267861bb14ef	9584370f30176cb73f7e0db249d44b45ae7507c2510a1feb6c91e875952791a7	orientation-9584370f30176cb7	1	True
3eb46282b0082eb1	3e8a99eb3e6254edc88508d2ec69f6835a43554b1aac8cfb3c9e0f318a7c47a1	orientation-3e8a99eb3e6254ed	2	True
3f2bcde8b6efba1f	92eac62f2dd80b6b2d43695b67d7b596beea0cf7dc82209515bd975a66ade982	orientation-92eac62f2dd80b6b	1	True
3fe09b71145ae91f	e1602adc3fa967e30e4d4c2e177543fd422a508792ee5a5fe59ef45c6294e366	orientation-e1602adc3fa967e3	1	True
3fe9bfb7c8321201	a1c1a05b3cc03db9d7e05d7c89b1a61d359251c3fbd124d848f0088d1fc02a5d	orientation-a1c1a05b3cc03db9	1	True
4019fa2020cdd6e7	a17482b0ec730359a4de044726cddb1612baa32d113567f329bad5f6db932ac4	orientation-a17482b0ec730359	1	True
4080091ed6ab32ed	22d3ab7818eef9d676118c5ab893b051cd2aeb6d020aee593f6475691ede4e40	orientation-22d3ab7818eef9d6	1	True
40ba57c2e078fb9d	649645e949f01b0af1d5fc6d332bb6bee6cf1b09ee7cd615b0583020a1854d45	orientation-649645e949f01b0a	1	True
40be408a0bb7c2be	d3fce936f05550794ea94416d5c8f3c2de2dfe2ce04e765eb6c5c78307f6e76f	orientation-d3fce936f0555079	1	True
4121dfa59f9e82a3	83c6e8ea438f019a917382bf8cab3c7fcbee7f38000b5b568d426d24b2678988	orientation-83c6e8ea438f019a	1	True
419770e1892b655a	8d7b838176a24d807309825c413afbd2b55eb247f11dbf6a7e01657164fc1220	orientation-8d7b838176a24d80	1	True
42e6902fc05e0c1a	7e810ba6e0938c75f6e7cf49de835c1be97f95ca1b57f030c508772b28de4ade	orientation-7e810ba6e0938c75	1	True
430c5927b868f32b	aa3926abd5623014b673c20add9d7b0e89fb118d865cfebe84a7595d15fbdc25	orientation-aa3926abd5623014	1	True
43177555a0b0532d	17b9827d9eb3cd33f3000437e49a083a091fb8f017d5f629ef0294981d22d367	orientation-17b9827d9eb3cd33	1	True
45f4dcb8b3e7ce06	a7900358cc8c521eba534b5a1cfe0b94dcc03d726929944579834222cc84204a	orientation-a7900358cc8c521e	1	True
4645d6726b4bfd2d	baf37349c4021f8abbdd93cc3233323a0c2a16a163244bdd8777aedee073ec88	orientation-baf37349c4021f8a	1	True
473d96afd6793658	7ca16ebb18b4ca2fc6e4a817748a8c4bfafdb0bd24fed782539930abd1854cc9	orientation-7ca16ebb18b4ca2f	2	False
484ac27242746eae	6aeef520b20edfd03bdc261661838590c16bf170aeea4e4f0eedf9d2f07ba929	orientation-6aeef520b20edfd0	1	True
48a76a86f474a4e8	b31fb6667e490251f4ee8a689aed47fb193ef8d488d00d7592095940ac456ec3	orientation-b31fb6667e490251	1	True
497b450b64c4d6f9	fe48d9984ac8c0bbe970ac3011d8a8e3d148963aefcc4c3c99cf58b57fbfd129	orientation-fe48d9984ac8c0bb	1	True
4996fa1f85d395b4	79eeebc4c2b58a39b14799f8b099524aa85f0caeb989c89a3e053524d7477110	orientation-79eeebc4c2b58a39	1	True
4adcffd90a760081	d1d75ded31989bf165f777e4cc138af2cb8ab68210995b0edc018ff1f284b496	orientation-d1d75ded31989bf1	1	True
4af774d3380276a6	0afd46b4f7212f0f4606274f2fbc8d10ca9a97f71f0a08e2a2f1bd693af23a46	orientation-0afd46b4f7212f0f	1	True
4b2ece1f6537ba7f	d8c34fa6f11648ff261c1fef1a08040e0d5e619265095e2b8b3fb8639c67896b	orientation-d8c34fa6f11648ff	1	True
4b7148124b1f98f1	e09b4ca569ec655d60ce29d16df58cc48776256554a564e3cf8dbdab012dc12f	orientation-e09b4ca569ec655d	1	True
4c0bceedcb720407	052e46717b2f927ba7f7c7890e6baab7d32103a1548a1a3e13dcfe6694c95f01	orientation-052e46717b2f927b	1	True
4c1c1d74d7e6a870	70ed1fde28a01a3936f54112ef3ce91c2bb5042298d1fdc60df00c4b26ba3b06	orientation-70ed1fde28a01a39	1	True
4c64ec3551a311a5	7b5df1cefdfc19610904f4c71b0d5a9ff771e25d10dddccc81de6a8e38fc96ad	orientation-7b5df1cefdfc1961	2	True
4d7379e487aabba1	aa70ac3c4b7829fa4bc224e7efc3c196871ea0773d478614746a37ad93f3bf2f	orientation-aa70ac3c4b7829fa	1	True
4e4267a265523c1a	e066a3a9ade81f75e51d04ba49b0dba366f56d50e024187f51b3223498ba9173	orientation-e066a3a9ade81f75	1	True
4f2ba84ef83f10b4	433ecaf721058f836a5e01ab4888496632c2cd9d47c49546da65b253c1433177	orientation-433ecaf721058f83	1	True
4fd35dbb64b43589	07fe58c1f2e3b2866529167c1fcf864fe432c3c15c5bd500e06cd94116a8d784	orientation-07fe58c1f2e3b286	1	True
502062c5bedafb3b	64c0415b3bd9886304b61567ce455a398ff12e9ae27b1507948b8ec28150ad95	orientation-64c0415b3bd98863	1	True
502b177d3c700104	bcd9ee739a0a4ba9af2d3ef96e7bed02657592553fe953b37b7305bd798052b6	orientation-bcd9ee739a0a4ba9	1	True
