candidate_id	relative_path	source	annotation_role	is_primary_gene_model	assembly_key	paired_assembly_ids	size_bytes	mtime_ns
1f54b91bb20f25d7	legumeinfo/58-161.gnm1.ann1.HJ1K/functional_iprscan/glyma.58-161.gnm1.ann1.HJ1K.iprscan.gff3.gz	legumeinfo	functional_iprscan	false	legumeinfo|58-161.gnm1	d4ed1350b181bf96	11137813	1672842027000000000
e3476ecff6f65159	legumeinfo/Amsoy.gnm1.ann1.6S5P/gff3/glyma.Amsoy.gnm1.ann1.6S5P.gene_models_main.gff3.gz	legumeinfo	gene_models_main	true	legumeinfo|Amsoy.gnm1	8948693e7614b9a0	21730796	1732643536000000000
53fcb483d2800bb9	legumeinfo/FengDiHuang.gnm1.ann1.P6HL/functional_iprscan/glyma.FengDiHuang.gnm1.ann1.P6HL.iprscan.gff3.gz	legumeinfo	functional_iprscan	false	legumeinfo|FengDiHuang.gnm1	887fc38a30f65f36	11204879	1672842028000000000
a1becd227d7124cb	legumeinfo/HanDouNo_5.gnm1.ann1.ZS7M/gff3/glyma.HanDouNo_5.gnm1.ann1.ZS7M.gene_models_main.gff3.gz	legumeinfo	gene_models_main	true	legumeinfo|HanDouNo_5.gnm1	a8412af2ff4cd5ed	22299062	1732644159000000000
920b742068dc109a	legumeinfo/Hefeng25_IGA1002.gnm1.ann1.320V/functional_iprscan/glyma.Hefeng25_IGA1002.gnm1.ann1.320V.iprscan.gff3.gz	legumeinfo	functional_iprscan	false	legumeinfo|Hefeng25_IGA1002.gnm1	d9e3d4cd719a05e5	10557627	1684944688000000000
c97428defdd467f7	legumeinfo/HeiHeNo_43.gnm1.ann1.PDXG/functional_iprscan/glyma.HeiHeNo_43.gnm1.ann1.PDXG.iprscan.gff3.gz	legumeinfo	functional_iprscan	false	legumeinfo|HeiHeNo_43.gnm1	8c21e283eca8cf3b	10984394	1672842028000000000
ea3e56940a88879f	legumeinfo/Hwangkeum.gnm1.ann1.1G4F/gff3/glyma.Hwangkeum.gnm1.ann1.1G4F.gene_models_main.gff3.gz	legumeinfo	gene_models_main	true	legumeinfo|Hwangkeum.gnm1	cd05cdccc2e3112e	21552504	1765836295000000000
784e722071f73364	legumeinfo/JD17.gnm1.ann1.CLFP/functional_iprscan/glyma.JD17.gnm1.ann1.CLFP.iprscan.gff3.gz	legumeinfo	functional_iprscan	false	legumeinfo|JD17.gnm1	d7abe2eb0f698c46	10357982	1694631165000000000
81873a90df1db72f	legumeinfo/JiDouNo_17.gnm1.ann1.X5PX/gff3/glyma.JiDouNo_17.gnm1.ann1.X5PX.gene_models_main.gff3.gz	legumeinfo	gene_models_main	true	legumeinfo|JiDouNo_17.gnm1	667ae3303395f049	22544732	1732644566000000000
2b0fde7217314250	legumeinfo/JuXuanNo_23.gnm1.ann1.H8PW/functional_iprscan/glyma.JuXuanNo_23.gnm1.ann1.H8PW.iprscan.gff3.gz	legumeinfo	functional_iprscan	false	legumeinfo|JuXuanNo_23.gnm1	b503a63d15d33fea	11076588	1672842029000000000
0ff6ab7e0a0c22c7	legumeinfo/KeShanNo_1.gnm1.ann1.2YX4/gff3/glyma.KeShanNo_1.gnm1.ann1.2YX4.gene_models_main.gff3.gz	legumeinfo	gene_models_main	true	legumeinfo|KeShanNo_1.gnm1	f23ce0d142345d64	21094105	1732645150000000000
4b79ff4b892e8327	legumeinfo/PI_398296.gnm1.ann1.B0XR/functional_iprscan/glyma.PI_398296.gnm1.ann1.B0XR.iprscan.gff3.gz	legumeinfo	functional_iprscan	false	legumeinfo|PI_398296.gnm1	351b9be376cc7087	10927462	1672842030000000000
8b276e8be91f038f	legumeinfo/PI_549046.gnm1.ann1.65KD/functional_iprscan/glyso.PI_549046.gnm1.ann1.65KD.iprscan.gff3.gz	legumeinfo	functional_iprscan	false	legumeinfo|PI_549046.gnm1	56bc7c342b765b44	11161567	1672851657000000000
5820343502432e05	legumeinfo/PI_549046.gnm1.ann1.65KD/gff3/glyso.PI_549046.gnm1.ann1.65KD.gene_models_main.gff3.gz	legumeinfo	gene_models_main	true	legumeinfo|PI_549046.gnm1	56bc7c342b765b44	21920028	1732648161000000000
9f24be91bd685b6c	legumeinfo/PI_578357.gnm1.ann1.0ZKP/gff3/glyso.PI_578357.gnm1.ann1.0ZKP.gene_models_main.gff3.gz	legumeinfo	gene_models_main	true	legumeinfo|PI_578357.gnm1	1f214bea4d5a72fb	21480863	1732648641000000000
7bfd199f20470b71	legumeinfo/QiHuangNo_34.gnm1.ann1.WHRV/functional_iprscan/glyma.QiHuangNo_34.gnm1.ann1.WHRV.iprscan.gff3.gz	legumeinfo	functional_iprscan	false	legumeinfo|QiHuangNo_34.gnm1	5f25bd9cfe3467d5	10616026	1672842030000000000
527340f3a4558e22	legumeinfo/Wm82_IGA1008.gnm1.ann1.FGN6/gff3/glyma.Wm82_IGA1008.gnm1.ann1.FGN6.gene_models_main.gff3.gz	legumeinfo	gene_models_main	true	legumeinfo|Wm82_IGA1008.gnm1	f0ec01b9e4056bfc	12459645	1686265587000000000
80d8092b452e43b3	legumeinfo/Wm82_NJAU.gnm1.ann1.KM71/functional_iprscan/glyma.Wm82_NJAU.gnm1.ann1.KM71.iprscan.gff3.gz	legumeinfo	functional_iprscan	false	legumeinfo|Wm82_NJAU.gnm1	6d38dcb5c92d95c2	10580558	1705700374000000000
64e9fabbcd942ce2	legumeinfo/Zh13_IGA1005.gnm1.ann1.87Z5/gff3/glyma.Zh13_IGA1005.gnm1.ann1.87Z5.gene_models_main.gff3.gz	legumeinfo	gene_models_main	true	legumeinfo|Zh13_IGA1005.gnm1	98cf7f6c3f3626e4	12163740	1686265975000000000
a1b345aaea2ddd49	legumeinfo/ZiHuaNo_4.gnm1.ann1.FCFQ/gff3/glyma.ZiHuaNo_4.gnm1.ann1.FCFQ.gene_models_main.gff3.gz	legumeinfo	gene_models_main	true	legumeinfo|ZiHuaNo_4.gnm1	85b481ae24b243fe	20886709	1732647928000000000
c82c0a38ad5ebf4c	soyomics/Amsoy/gff/SoyC05.gene.gff.gz	soyomics	soyomics_gene	true	soyomics|Amsoy	b374442bb6419f33	11287785	1747386746000000000
1cb5b86975018b10	soyomics/Amsoy/ncrna/SoyC05.ncRNA.gff3.gz	soyomics	noncoding	false	soyomics|Amsoy	b374442bb6419f33	98408	1747386866000000000
84b3ba3476609c7d	soyomics/Dong_Nong_No.50/ncrna/SoyC12.ncRNA.gff3.gz	soyomics	noncoding	false	soyomics|Dong_Nong_No.50	8f487fe66159035f	99612	1747386866000000000
8286c596dee8a84d	soyomics/Feng_Di_Huang/repeat/SoyL07.repeat.gff3.gz	soyomics	repeat	false	soyomics|Feng_Di_Huang	91db807016058a25	7808613	1747386873000000000
9978cb9ecb8ae6d4	soyomics/Han_Dou_No.5/ncrna/SoyC09.ncRNA.gff3.gz	soyomics	noncoding	false	soyomics|Han_Dou_No.5	2ceae22cc6f4152c	104837	1747386866000000000
91b0002db5fffdbc	soyomics/Han_Dou_No.5/repeat/SoyC09.repeat.gff3.gz	soyomics	repeat	false	soyomics|Han_Dou_No.5	2ceae22cc6f4152c	7674456	1747386872000000000
0977ba8450f99038	soyomics/Ji_Dou_No.17/repeat/SoyC11.repeat.gff3.gz	soyomics	repeat	false	soyomics|Ji_Dou_No.17	ea8540c33ae9e337	7872644	1747386872000000000
0268567bd758fb3a	soyomics/Jin_Dou_No.23/gff/SoyC07.gene.gff.gz	soyomics	soyomics_gene	true	soyomics|Jin_Dou_No.23	344392ed9e30329b	10773800	1747386746000000000
44bd7a9918b44d70	soyomics/Ju_Xuan_No.23/gff/SoyC03.gene.gff.gz	soyomics	soyomics_gene	true	soyomics|Ju_Xuan_No.23	651b538a44345986	11193762	1747386746000000000
f08e42a7e3fcdfe1	soyomics/Ke_Shan_No.1/gff/SoyC14.gene.gff.gz	soyomics	soyomics_gene	true	soyomics|Ke_Shan_No.1	959d82ee1985320f	10902035	1747386747000000000
ba11816bd341d1b3	soyomics/Ke_Shan_No.1/repeat/SoyC14.repeat.gff3.gz	soyomics	repeat	false	soyomics|Ke_Shan_No.1	959d82ee1985320f	7707440	1747386872000000000
