candidate_id	relative_path	source	genus	species	assembly_label	genome_role	size_bytes	mtime_ns
c8dc325fc923ad87	legume_family/ncbi/Glycine_soja/Glycine_soja_Yongin-0_v1.0/genome/GCA_048402855.1_Glycine_soja_Yongin-0_v1.0_genomic.fna.gz	legume_family_ncbi	Glycine	Glycine soja	Glycine_soja_Yongin-0_v1.0	ncbi_genomic	291187038	1780833408000000000
bbe9ecd752373c27	legume_family/ncbi/Glycine_soja/glyso.PI483463.gnm1/genome/GCA_002907465.1_glyso.PI483463.gnm1_genomic.fna.gz	legume_family_ncbi	Glycine	Glycine soja	glyso.PI483463.gnm1	ncbi_genomic	293920890	1780833586000000000
cf71609ba72fe855	legume_family/ncbi/Inga_laurina/drIngLaur1.1/genome/GCA_963855925.1_drIngLaur1.1_genomic.fna.gz	legume_family_ncbi	Inga	Inga laurina	drIngLaur1.1	ncbi_genomic	282478459	1780833638000000000
b33d685a6f3f64a7	legume_family/ncbi/Lablab_purpureus/ASM3476976v1/genome/GCA_034769765.1_ASM3476976v1_genomic.fna.gz	legume_family_ncbi	Lablab	Lablab purpureus	ASM3476976v1	ncbi_genomic	112322075	1780833586000000000
cc4670154da72e04	legume_family/ncbi/Lathyrus_oleraceus/JIC_PsatJI15_v1.3/genome/GCA_964214105.1_JIC_PsatJI15_v1.3_genomic.fna.gz	legume_family_ncbi	Lathyrus	Lathyrus oleraceus	JIC_PsatJI15_v1.3	ncbi_genomic	1103109840	1780834387000000000
7d5b0b954f5783c7	legume_family/ncbi/Lotus_pedunculatus/drLotPedu3.1/genome/GCA_965212415.1_drLotPedu3.1_genomic.fna.gz	legume_family_ncbi	Lotus	Lotus pedunculatus	drLotPedu3.1	ncbi_genomic	145253849	1780834732000000000
36fec1a295e1766f	legume_family/ncbi/Medicago_sativa/ASM4841793v1/genome/GCA_048417935.1_ASM4841793v1_genomic.fna.gz	legume_family_ncbi	Medicago	Medicago sativa	ASM4841793v1	ncbi_genomic	249984441	1780835227000000000
8c9674ea08fea643	legume_family/ncbi/Medicago_sativa/ASM4841841v1/genome/GCA_048418415.1_ASM4841841v1_genomic.fna.gz	legume_family_ncbi	Medicago	Medicago sativa	ASM4841841v1	ncbi_genomic	238487006	1780835770000000000
1b3bf9483f50efe1	legume_family/ncbi/Medicago_sativa/ASM5485547v1/genome/GCA_054855475.1_ASM5485547v1_genomic.fna.gz	legume_family_ncbi	Medicago	Medicago sativa	ASM5485547v1	ncbi_genomic	220924505	1780835924000000000
d7babc62cb6e2a34	legume_family/ncbi/Medicago_sativa/ASM5488328v1/genome/GCA_054883285.1_ASM5488328v1_genomic.fna.gz	legume_family_ncbi	Medicago	Medicago sativa	ASM5488328v1	ncbi_genomic	247826548	1780836072000000000
6f87e906bc8ad96c	legume_family/ncbi/Medicago_truncatula/MedtrA17_3.5/genome/GCF_000219495.1_MedtrA17_3.5_genomic.fna.gz	legume_family_ncbi	Medicago	Medicago truncatula	MedtrA17_3.5	ncbi_genomic	83059820	1780835979000000000
771916477a313049	legume_family/ncbi/Ormosia_henryi/OHP_v1.0/genome/GCA_965285985.1_OHP_v1.0_genomic.fna.gz	legume_family_ncbi	Ormosia	Ormosia henryi	OHP_v1.0	ncbi_genomic	753548161	1780836819000000000
694caad1321c36d6	legume_family/ncbi/Ormosia_purpureiflora/ASM4095594v1/genome/GCA_040955945.1_ASM4095594v1_genomic.fna.gz	legume_family_ncbi	Ormosia	Ormosia purpureiflora	ASM4095594v1	ncbi_genomic	479646535	1780836660000000000
45f4dcb8b3e7ce06	legume_family/ncbi/Phaseolus_vulgaris/phasIbeam10.0/genome/GCA_001517995.1_phasIbeam10.0_genomic.fna.gz	legume_family_ncbi	Phaseolus	Phaseolus vulgaris	phasIbeam10.0	ncbi_genomic	148438975	1780837103000000000
048deac0b41ba782	legume_family/ncbi/Piptanthus_nepalensis/ASM5594430v1/genome/GCA_055944305.1_ASM5594430v1_genomic.fna.gz	legume_family_ncbi	Piptanthus	Piptanthus nepalensis	ASM5594430v1	ncbi_genomic	295199684	1780837227000000000
13c241bd7fddb5df	legume_family/ncbi/Pueraria_montana_var._thomsonii/ASM3704321v1/genome/GCA_037043215.1_ASM3704321v1_genomic.fna.gz	legume_family_ncbi	Pueraria	Pueraria montana var. thomsonii	ASM3704321v1	ncbi_genomic	415551883	1780837438000000000
be425e28c0ff085b	legume_family/ncbi/Sphenostylis_stenocarpa/hybrid_with_Hi-C/genome/GCA_963425845.1_hybrid_with_Hi-C_genomic.fna.gz	legume_family_ncbi	Sphenostylis	Sphenostylis stenocarpa	hybrid_with_Hi-C	ncbi_genomic	196289204	1780837527000000000
79fb4a707bd970ac	legume_family/ncbi/Trifolium_bocconei/drTriBocc1.hap2.1/genome/GCA_965615745.1_drTriBocc1.hap2.1_genomic.fna.gz	legume_family_ncbi	Trifolium	Trifolium bocconei	drTriBocc1.hap2.1	ncbi_genomic	165782783	1780837637000000000
e0675911de7dfc99	legume_family/ncbi/Trifolium_occidentale/Agr_To.v5/genome/GCA_012979555.1_Agr_To.v5_genomic.fna.gz	legume_family_ncbi	Trifolium	Trifolium occidentale	Agr_To.v5	ncbi_genomic	123840554	1780837634000000000
24e3f03ccd507b5e	legume_family/ncbi/Trifolium_repens/AgR_To_v5/genome/GCA_005869975.1_AgR_To_v5_genomic.fna.gz	legume_family_ncbi	Trifolium	Trifolium repens	AgR_To_v5	ncbi_genomic	242566824	1780837830000000000
fe521354df71c678	legume_family/ncbi/Trifolium_repens/drTriRepe1.hap1.1/genome/GCA_977963945.1_drTriRepe1.hap1.1_genomic.fna.gz	legume_family_ncbi	Trifolium	Trifolium repens	drTriRepe1.hap1.1	ncbi_genomic	285327366	1780837918000000000
17e7b10334e776bc	legume_family/ncbi/Trifolium_repens/drTriRepe3_hap2/genome/GCA_052626445.1_drTriRepe3_hap2_genomic.fna.gz	legume_family_ncbi	Trifolium	Trifolium repens	drTriRepe3_hap2	ncbi_genomic	289266267	1780837920000000000
9cb5484612530a15	legume_family/ncbi/Vicia_faba/Vfaba_Hedin2_v2/genome/GCA_964205075.1_Vfaba_Hedin2_v2_genomic.fna.gz	legume_family_ncbi	Vicia	Vicia faba	Vfaba_Hedin2_v2	ncbi_genomic	3295737222	1780840403000000000
67a06c3a40190e17	legume_family/ncbi/Vigna_angularis_var._angularis/Vangularis_v1/genome/GCA_004320505.1_Vangularis_v1_genomic.fna.gz	legume_family_ncbi	Vigna	Vigna angularis var. angularis	Vangularis_v1	ncbi_genomic	155864521	1780838855000000000
c8587827a41f6674	legume_family/ncbi/Vigna_nakashimae/ASM3464237v1/genome/GCA_034642375.1_ASM3464237v1_genomic.fna.gz	legume_family_ncbi	Vigna	Vigna nakashimae	ASM3464237v1	ncbi_genomic	163471926	1780839108000000000
967d0dce8b2a2937	legume_family/ncbi/Vigna_umbellata/Vumbellata_1.0/genome/GCA_029865625.1_Vumbellata_1.0_genomic.fna.gz	legume_family_ncbi	Vigna	Vigna umbellata	Vumbellata_1.0	ncbi_genomic	181915140	1780839426000000000
